state_id,nation_id,name,abbreviation,population,main_language_id
1424,88,"Heves","HEV",248344,0
1425,88,"Nzgrad","NZG",132260,0
1426,88,"Tolna","TOL",190950,0
1427,88,"Hungary","HUN",6519,0
1428,89,"Höfuðborgarsvæði","HöF",185131,0
1429,89,"Norðurland eystra","NOR",20304,0
1430,89,"Suðurnes","SUð",16085,0
1431,89,"Vesturland","VES",8448,0
1432,89,"Suðurland","SUð",12795,0
1433,89,"Norðurland vestra","NOR",4073,0
1434,89,"Vestfirðir","VES",2534,0
1435,89,"Austurland","AUS",4989,0
1436,90,"Maharashtra","MAH",45776879,0
1437,90,"Delhi","DEL",14498671,0
1438,90,"Karnataka","KAR",19903179,0
1439,90,"Bangla","BAN",24539824,0
1440,90,"Tamil Nadu","TAM",28888639,0
1441,90,"Gujarat","GUJ",20552184,0
1442,90,"Andhra Pradesh","AND",23576574,0
1443,90,"Uttar Pradesh","UTT",37925596,0
1444,90,"Rajasthan","RAJ",14826281,0
1445,90,"Madhya Pradesh","MAD",17477210,0
1446,90,"Bihar","BIH",9799137,0
1447,90,"Punjab","PUN",36514074,0
1448,90,"Haryana","HAR",6913626,0
1449,90,"Jammu & Kashmir","JAM",2592686,0
1450,90,"Jharkhand","JHA",6581256,0
1451,90,"Chandigarh","CHA",914371,0
1452,90,"Assam","ASS",3551703,0
1453,90,"Kerala","KER",8587827,0
1454,90,"Orissa","ORI",5905157,0
1455,90,"Chhattisgarh","CHH",4676294,0
1456,90,"Uttaranchal","UTT",2387602,0
1457,90,"Mizoram","MIZ",499277,0
1458,90,"Pondicherry","PON",653352,0
1459,90,"Manipur","MAN",648402,0
1460,90,"Tripura","TRI",587916,0
1461,90,"Himachal Pradesh","HIM",674301,0
1462,90,"Nagaland","NAG",434013,0
1463,90,"Meghalaya","MEG",488970,0
1464,90,"Andaman & Nicobar Islands","AND",129752,0
1465,90,"Goa","GOA",742308,0
1466,90,"Arunachal Pradesh","ARU",255956,0
1467,90,"Daman & Diu","DAM",63516,0
1468,90,"Dadra & Nagar Haveli","DAD",60728,0
1469,90,"Sikkim","SIK",64090,0
1470,90,"Lakshadweep","LAK",35353,0
1471,91,"Jakarta","JAK",8540121,0
1472,91,"Jawa Timur","JAW",8706985,0
1473,91,"Sumatera Utara","SUM",4421076,0
