year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
0,0,0,0,0,0,40033,36429,9235,3563,12488,7053,1360,573,249,2289,0,0,5872,3604,0,0,0,0,0,0,1120,0,2182,0,0.2535,0.3207,0.3428,4687.2853,4.6538,0.0893,0.3093,0.6635,100.0000,0.0000,8.9002,9.0026,0.0000,0.2755
0,0,0,0,0,0,39358,35461,9111,3633,12358,7023,1198,621,269,2009,0,0,6126,3897,0,0,0,0,0,0,1120,0,2088,0,0.2569,0.3305,0.3485,4764.5212,4.8821,0.0916,0.3179,0.6790,100.0000,0.0000,9.2307,9.9014,0.0000,0.2802
0,0,0,0,0,0,42483,38757,9798,3651,13183,7583,1335,590,290,1999,0,0,5992,3726,0,0,0,0,0,0,1120,0,2215,0,0.2528,0.3183,0.3401,4835.9657,4.5088,0.0873,0.3077,0.6585,100.0000,0.0000,8.5940,8.7706,0.0000,0.2731
0,0,0,0,0,0,41033,37108,9286,3660,12376,7277,1182,573,254,2060,0,0,5947,3925,0,0,0,0,0,0,1120,0,2009,0,0.2502,0.3220,0.3335,4658.0261,4.5204,0.0833,0.3084,0.6555,100.0000,0.0000,8.9197,9.5655,0.0000,0.2721
0,0,0,0,0,0,46795,42630,10460,3878,0,0,1369,664,306,2198,0,0,6374,4165,0,0,0,0,0,0,1120,0,2339,0,0.2454,0.3125,0.3302,5094.5630,4.2758,0.0848,0.0000,0.6427,100.0000,0.0000,0.0000,0.0000,0.0000,0.2641
0,0,0,0,0,0,38558,34568,9267,2678,12420,7169,1287,567,244,1899,0,0,6210,3990,0,0,0,0,0,0,1120,0,2098,0,0.2681,0.3438,0.3593,4966.4343,5.2999,0.0912,0.3310,0.7031,100.0000,0.0000,6.9454,10.3480,0.0000,0.2851
0,0,0,0,0,0,42256,38192,10764,2244,0,0,1454,707,359,1910,0,0,7038,4064,0,0,0,0,0,0,1120,0,2520,0,0.2818,0.3509,0.3851,5880.8235,5.7891,0.1033,0.0000,0.7360,100.0000,0.0000,0.0000,0.0000,0.0000,0.2924
0,0,0,0,0,0,38354,34488,9728,2823,13463,7294,1447,673,314,2067,0,0,6610,3866,0,0,0,0,0,0,1120,0,2434,0,0.2821,0.3544,0.3904,5508.9832,6.0074,0.1083,0.3413,0.7448,100.0000,0.0000,7.3604,10.0798,0.0000,0.3003
0,0,0,0,0,0,42370,38517,12050,2064,0,0,1831,841,456,2103,0,0,8001,3853,0,0,0,0,0,0,1120,0,3128,0,0.3128,0.3753,0.4396,7141.2765,7.2851,0.1267,0.0000,0.8149,100.0000,0.0000,0.0000,0.0000,0.0000,0.3221
0,0,0,0,0,0,38149,34546,9703,2906,13026,7509,1351,557,286,1947,0,0,6394,3603,0,0,0,0,0,0,1120,0,2194,0,0.2809,0.3488,0.3771,5223.2110,5.6767,0.0962,0.3358,0.7259,100.0000,0.0000,7.6175,9.4445,0.0000,0.3003
