game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
6033,154,200,205,0,"2019-7-2",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6034,154,201,206,0,"2019-7-2",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6035,154,204,203,0,"2019-7-2",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6036,154,202,208,0,"2019-7-3",1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6037,154,199,207,0,"2019-7-3",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6038,154,200,205,0,"2019-7-3",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6039,154,201,206,0,"2019-7-3",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6040,154,204,203,0,"2019-7-3",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6041,154,208,204,0,"2019-7-4",1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042,154,203,202,0,"2019-7-4",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6043,154,206,199,0,"2019-7-4",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6044,154,207,200,0,"2019-7-4",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6045,154,205,201,0,"2019-7-4",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6046,154,203,202,0,"2019-7-5",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,154,208,204,0,"2019-7-5",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6048,154,206,199,0,"2019-7-5",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6049,154,207,200,0,"2019-7-5",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6050,154,205,201,0,"2019-7-5",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051,154,203,202,0,"2019-7-6",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6052,154,208,204,0,"2019-7-6",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,154,207,200,0,"2019-7-6",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6054,154,205,201,0,"2019-7-6",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6055,154,206,199,0,"2019-7-6",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6056,154,205,201,0,"2019-7-7",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6057,154,207,200,0,"2019-7-7",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6058,154,203,202,0,"2019-7-7",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6059,154,208,204,0,"2019-7-7",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,154,206,199,0,"2019-7-7",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6061,154,202,207,0,"2019-7-8",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6062,154,201,203,0,"2019-7-8",1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6063,154,199,208,0,"2019-7-8",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6064,154,200,206,0,"2019-7-8",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6065,154,204,205,0,"2019-7-8",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6066,154,202,207,0,"2019-7-9",1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6067,154,199,208,0,"2019-7-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6068,154,201,203,0,"2019-7-9",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6069,154,200,206,0,"2019-7-9",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6070,154,204,205,0,"2019-7-9",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6071,154,202,207,0,"2019-7-10",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6072,154,199,208,0,"2019-7-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,154,201,203,0,"2019-7-10",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6074,154,200,206,0,"2019-7-10",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6075,154,204,205,0,"2019-7-10",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6076,154,201,203,0,"2019-7-11",1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6077,154,202,207,0,"2019-7-11",1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6078,154,199,208,0,"2019-7-11",1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
