team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
165,2019,151,2,1,440,114,495,178,120,101,62,45,51,47,113,108,1849,2,22,22,4,2,0,89,14,2,4,7,10,0,0,0,6,4,0,13,6,0,0,0,0,0,5,3,0,13.2645,0.2727,0.3428,0.4045,0.7473,9.4186,7.9273,0.7849,3.5320,0.0000,0.0000,0.2727,0.6667,2.8182,0.0000,0.0000,0.0000,3.6890,84.0455,0.0000,1.4390,0.5113,2.2444,0.3303
166,2019,151,2,1,450,115,498,192,128,105,56,40,64,64,126,96,1818,2,22,22,9,8,0,90,24,4,2,2,12,0,0,0,1,2,0,9,10,0,0,0,0,0,5,2,0,13.2277,0.2844,0.3441,0.4267,0.7708,9.9597,8.1700,0.9337,3.1124,0.0000,0.0000,0.4545,0.5294,2.5455,0.0000,0.0000,0.0000,4.9798,82.6364,0.0000,1.4524,0.5676,2.6250,0.3463
167,2019,151,2,1,487,118,531,207,145,89,65,37,74,66,131,115,1884,2,22,22,6,6,0,106,26,2,1,3,10,0,0,0,10,4,0,15,6,0,0,0,0,0,7,4,0,14.1067,0.2977,0.3516,0.4251,0.7767,10.9972,6.7500,0.7584,2.8062,0.0000,0.0000,0.2727,0.5000,2.9545,0.0000,0.0000,0.0000,5.0056,85.6364,0.0000,1.5337,0.5325,2.4054,0.3470
168,2019,151,2,1,482,124,539,205,128,94,78,47,62,58,130,130,1997,0,22,22,11,5,0,84,25,2,5,5,14,0,0,3,8,3,0,12,9,0,0,0,0,0,8,5,0,12.9194,0.2656,0.3315,0.4253,0.7568,9.2903,6.8226,1.0161,3.4113,0.0000,0.0000,0.4091,0.6875,3.5455,0.0000,0.0000,0.0000,4.2097,90.7727,0.0000,1.4113,0.5000,2.0000,0.3008
169,2019,151,2,1,450,109,499,206,129,100,59,39,71,61,100,120,1845,2,23,23,4,7,0,80,33,1,4,4,12,1,0,0,2,5,0,3,6,0,0,0,1,0,8,4,0,14.1976,0.2867,0.3474,0.4578,0.8052,10.5866,8.2067,0.9848,3.2006,0.0435,0.0000,0.2609,0.3636,2.5652,0.0000,0.0000,0.0000,5.0061,80.2174,0.0000,1.5319,0.4545,2.5641,0.3421
170,2019,151,2,1,427,99,470,206,134,81,49,36,65,60,102,108,1740,2,21,21,1,9,0,97,18,3,1,3,16,0,0,0,3,3,0,3,3,0,0,0,0,0,4,1,0,15.6221,0.3138,0.3704,0.4824,0.8529,12.1003,7.3144,1.4448,3.2508,0.0000,0.0000,0.1429,0.1000,2.3333,0.0000,0.0000,0.0000,5.4181,82.8571,0.0000,1.7057,0.4857,2.2500,0.3565
171,2019,152,2,1,400,95,461,208,130,77,39,48,84,77,91,106,1806,2,23,23,3,12,0,89,21,2,5,3,17,2,0,0,2,6,0,7,4,0,0,0,0,0,8,3,0,17.3101,0.3250,0.4009,0.5200,0.9209,12.2300,7.2439,1.5993,4.5157,0.0000,0.0000,0.1739,0.2000,1.6957,0.0000,0.0000,0.0000,7.2439,78.5217,0.0000,1.8606,0.4619,1.6042,0.3633
172,2019,152,2,1,457,117,513,178,123,87,108,42,56,54,121,127,1949,0,23,23,7,6,0,86,26,2,3,4,7,1,1,0,7,8,0,8,6,0,0,0,0,0,7,4,0,13.3077,0.2691,0.3392,0.3895,0.7287,9.4615,6.6923,0.5385,3.2308,0.0000,0.0000,0.2609,0.5385,4.6957,0.0000,0.0000,0.0000,4.1538,84.7391,0.0000,1.4103,0.4879,2.0714,0.3169
173,2019,152,2,1,448,116,502,176,120,92,77,46,57,50,138,98,1917,0,23,23,8,5,0,87,20,4,2,3,10,0,0,4,2,2,0,14,9,0,0,0,0,0,8,4,0,13.0345,0.2679,0.3373,0.3929,0.7302,9.3103,7.1379,0.7759,3.5690,0.0000,0.0000,0.3913,0.6154,3.3478,0.0000,0.0000,0.0000,3.8793,83.3478,0.0000,1.4310,0.5847,2.0000,0.3161
174,2019,152,2,1,463,115,524,214,137,86,69,46,71,69,125,119,1932,0,23,23,8,10,0,88,33,4,3,4,12,1,1,0,3,7,0,10,8,0,0,0,0,0,11,4,0,14.8696,0.2959,0.3661,0.4622,0.8283,10.7217,6.7304,0.9391,3.6000,0.0000,0.0000,0.3478,0.4444,3.0000,0.0000,0.0000,0.0000,5.4000,84.0000,0.0000,1.5913,0.5123,1.8696,0.3397
