year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war
0,0,0,0,0,0,38444,9332,41557,11249,10448,3146,0,3113,7103,4462,0,0,0,0,1120,0,0,0,6,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,33,0,0,0,13.0785,0.2718,0.3263,0.2926,0.6189,10.0763,3.0341,0.2575,3.0023,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.3033,0.0000,0.0000,1.4532,0.0000,1.0106,0.2906,0.0000,''
0,0,0,0,0,0,36879,9034,39818,10794,9777,2769,0,2939,6311,4048,0,0,0,0,1120,0,0,0,11,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,984,41,0,0,0,12.6681,0.2651,0.3194,0.2927,0.6120,9.7402,2.7586,0.3377,2.9279,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.0328,0.0000,0.0000,1.4076,0.0000,0.9422,0.2795,0.0000,''
0,0,0,0,0,0,37881,9587,40308,9960,9120,4053,0,2427,5674,3368,0,0,0,0,1120,0,0,0,2,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,62,0,0,0,10.8400,0.2408,0.2865,0.2629,0.5494,8.5616,3.8048,0.2629,2.2784,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.1618,0.0000,0.0000,1.2044,0.0000,1.6700,0.2635,0.0000,''
0,0,0,0,0,0,37887,9669,40186,9603,8880,4181,0,2299,4954,2934,0,0,0,0,1120,0,0,0,7,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,92,0,0,0,10.4055,0.2344,0.2782,0.2535,0.5316,8.2656,3.8917,0.2243,2.1399,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.7310,0.0000,0.0000,1.1562,0.0000,1.8186,0.2582,0.0000,''
0,0,0,0,0,0,38708,9521,42546,11114,10145,3928,0,3838,6783,4285,0,0,0,0,1120,0,0,0,13,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,974,47,0,0,0,13.2178,0.2621,0.3287,0.2871,0.6158,9.5899,3.7131,0.3053,3.6280,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.0505,0.0000,0.0000,1.4686,0.0000,1.0234,0.2851,0.0000,''
0,0,0,0,0,0,38458,9496,41936,11002,9970,3757,0,3478,6203,4022,0,0,0,0,1120,0,0,0,23,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,955,44,0,0,0,12.7456,0.2592,0.3207,0.2861,0.6068,9.4492,3.5608,0.3260,3.2963,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.8119,0.0000,0.0000,1.4162,0.0000,1.0802,0.2802,0.0000,''
0,0,0,0,0,0,34018,8496,37376,9058,8530,3776,0,3358,5452,3636,0,0,0,0,1120,0,0,0,15,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,873,47,0,0,0,12.5932,0.2507,0.3181,0.2663,0.5843,9.0360,4.0000,0.1864,3.5572,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.8517,0.0000,0.0000,1.3992,0.0000,1.1245,0.2779,0.0000,''
0,0,0,0,0,0,36759,9185,40489,9939,9204,3631,0,3730,5911,3669,0,0,0,0,1120,0,0,0,10,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,949,52,0,0,0,12.6735,0.2504,0.3194,0.2704,0.5898,9.0186,3.5579,0.2401,3.6549,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.5951,0.0000,0.0000,1.4082,0.0000,0.9735,0.2725,0.0000,''
0,0,0,0,0,0,35513,8838,39318,9788,8999,3611,0,3805,5908,3576,0,0,0,0,1120,0,0,0,19,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,858,38,0,0,0,13.0387,0.2534,0.3257,0.2756,0.6013,9.1640,3.6772,0.2678,3.8747,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.6415,0.0000,0.0000,1.4487,0.0000,0.9490,0.2761,0.0000,''
0,0,0,0,0,0,39044,9739,42834,10739,9827,3727,0,3790,6116,3722,0,0,0,0,1120,0,0,0,24,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,958,59,0,0,0,12.5837,0.2517,0.3179,0.2750,0.5930,9.0813,3.4442,0.2809,3.5024,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.4396,0.0000,0.0000,1.3982,0.0000,0.9834,0.2720,0.0000,''
0,0,0,0,0,0,36836,9258,40569,9878,9062,3602,0,3733,5667,3426,0,0,0,0,1120,0,0,0,19,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,911,53,0,0,0,12.4384,0.2460,0.3154,0.2682,0.5836,8.8095,3.5016,0.2644,3.6290,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.3305,0.0000,0.0000,1.3820,0.0000,0.9649,0.2667,0.0000,''
0,0,0,0,0,0,42689,10808,46915,11081,10265,4137,0,4226,6082,3896,0,0,0,0,1120,0,0,0,17,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,63,0,0,0,12.0669,0.2405,0.3089,0.2596,0.5685,8.5478,3.4449,0.2265,3.5191,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.2443,0.0000,0.0000,1.3408,0.0000,0.9789,0.2611,0.0000,''
0,0,0,0,0,0,34633,8445,38357,10147,9298,2783,0,3724,6067,4009,0,0,0,0,1120,0,0,0,17,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,801,35,0,0,0,13.8778,0.2685,0.3395,0.2930,0.6325,9.9091,2.9659,0.3016,3.9687,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.2725,0.0000,0.0000,1.5420,0.0000,0.7473,0.2856,0.0000,''
0,0,0,0,0,0,38453,9380,42652,11225,10313,2340,0,4199,6609,4613,0,0,0,0,1120,0,0,0,27,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,857,34,0,0,0,13.9241,0.2682,0.3402,0.2919,0.6322,9.8952,2.2452,0.2917,4.0289,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.4261,0.0000,0.0000,1.5471,0.0000,0.5573,0.2795,0.0000,''
0,0,0,0,0,0,34710,8406,38319,10422,9492,2761,0,3609,6199,4028,0,0,0,0,1120,0,0,0,29,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,781,35,0,0,0,14.0268,0.2735,0.3419,0.3003,0.6422,10.1627,2.9561,0.3319,3.8640,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.3126,0.0000,0.0000,1.5585,0.0000,0.7650,0.2902,0.0000,''
0,0,0,0,0,0,39721,9285,43700,13198,11866,2327,0,3979,7840,5526,0,0,0,0,1120,0,0,0,18,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,873,22,0,0,0,15.3586,0.2987,0.3626,0.3323,0.6949,11.5018,2.2556,0.4304,3.8569,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,5.3564,0.0000,0.0000,1.7065,0.0000,0.5848,0.3091,0.0000,''
0,0,0,0,0,0,34585,8458,38077,10069,9211,2857,0,3492,5865,3799,0,0,0,0,1120,0,0,0,25,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,779,45,0,0,0,13.5170,0.2663,0.3336,0.2911,0.6248,9.8013,3.0401,0.3043,3.7158,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.0424,0.0000,0.0000,1.5019,0.0000,0.8182,0.2839,0.0000,''
0,0,0,0,0,0,39007,9253,42398,12223,11248,2529,0,3391,6978,4943,0,0,0,0,1120,0,0,0,32,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,867,27,0,0,0,14.2387,0.2884,0.3453,0.3134,0.6586,10.9405,2.4599,0.3161,3.2983,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.8078,0.0000,0.0000,1.5821,0.0000,0.7458,0.3021,0.0000,''
0,0,0,0,0,0,35003,8610,38379,9917,9173,3002,0,3376,5590,3615,0,0,0,0,1120,0,0,0,25,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,806,47,0,0,0,13.1174,0.2621,0.3270,0.2833,0.6103,9.5885,3.1380,0.2592,3.5289,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.7787,0.0000,0.0000,1.4575,0.0000,0.8892,0.2811,0.0000,''
0,0,0,0,0,0,37989,9110,41248,11508,10659,2304,0,3259,6326,4487,0,0,0,0,1120,0,0,0,15,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,864,36,0,0,0,13.7499,0.2806,0.3374,0.3029,0.6404,10.5303,2.2762,0.2796,3.2196,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.4328,0.0000,0.0000,1.5278,0.0000,0.7070,0.2931,0.0000,''
0,0,0,0,0,0,34730,8565,38041,9764,9035,3037,0,3311,5367,3478,0,0,0,0,1120,0,0,0,18,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,809,44,0,0,0,12.9730,0.2601,0.3245,0.2811,0.6057,9.4939,3.1912,0.2553,3.4792,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.6546,0.0000,0.0000,1.4414,0.0000,0.9172,0.2796,0.0000,''
0,0,0,0,0,0,39249,9363,42435,11913,11160,2474,0,3186,6514,4645,0,0,0,0,1120,0,0,0,20,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,914,33,0,0,0,13.7898,0.2843,0.3381,0.3035,0.6416,10.7273,2.3781,0.2413,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.4649,0.0000,0.0000,1.5322,0.0000,0.7765,0.2987,0.0000,''
