team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
240,2019,158,4,0,0,23,230,847,205,632,10,18,0,4,20,2,0,1896,0,0.9882,3.9731,0.1000,0.0000
241,2019,158,4,0,0,22,220,798,206,580,12,22,0,2,17,2,0,1740,0,0.9850,4.0655,0.1176,0.0000
242,2019,158,4,0,0,23,230,878,206,657,15,24,0,2,19,5,0,1971,0,0.9829,3.9406,0.2632,0.0000
243,2019,158,4,0,0,23,230,862,234,608,20,23,0,3,20,3,0,1824,0,0.9768,4.1546,0.1500,0.0000
244,2019,158,4,0,0,23,230,818,197,614,7,12,0,2,22,4,0,1842,0,0.9914,3.9625,0.1818,0.0000
245,2019,157,4,0,0,23,230,846,218,610,18,20,0,0,15,2,0,1830,0,0.9787,4.0721,0.1333,0.0000
246,2019,158,4,0,0,23,230,870,227,631,12,16,0,3,13,6,0,1893,0,0.9862,4.0792,0.4615,0.0000
247,2019,159,4,0,0,22,220,777,188,577,12,13,0,3,21,4,0,1731,0,0.9846,3.9775,0.1905,0.0000
248,2019,159,4,0,0,23,230,855,224,609,22,24,0,0,16,4,0,1827,0,0.9743,4.1034,0.2500,0.0000
249,2019,159,4,0,0,21,210,758,182,559,17,20,0,1,15,6,0,1677,0,0.9776,3.9767,0.4000,0.0000
250,2019,159,4,0,0,21,210,783,206,554,23,35,0,2,13,5,0,1662,0,0.9706,4.1155,0.3846,0.0000
251,2019,159,4,0,0,23,230,819,208,601,10,22,0,0,13,2,0,1803,0,0.9878,4.0383,0.1538,0.0000
252,2019,159,4,0,0,22,220,782,193,574,15,16,0,2,15,2,0,1722,0,0.9808,4.0087,0.1333,0.0000
253,2019,159,4,0,0,23,230,852,207,628,17,25,0,2,28,11,0,1884,0,0.9800,3.9889,0.3929,0.0000
254,2019,159,4,0,0,23,230,844,211,615,18,19,0,3,19,3,0,1845,0,0.9787,4.0293,0.1579,0.0000
255,2019,159,4,0,0,22,220,808,206,592,10,15,0,3,16,3,0,1776,0,0.9876,4.0439,0.1875,0.0000
256,2019,160,4,0,0,23,230,839,210,612,17,15,0,1,14,3,0,1836,0,0.9797,4.0294,0.2143,0.0000
257,2019,159,4,0,0,23,230,876,243,617,16,35,0,2,14,5,0,1851,0,0.9817,4.1815,0.3571,0.0000
258,2019,159,4,0,0,22,220,837,220,600,17,21,0,0,21,3,0,1800,0,0.9797,4.1000,0.1429,0.0000
259,2019,159,4,0,0,23,230,843,211,616,16,14,0,4,24,6,0,1848,0,0.9810,4.0276,0.2500,0.0000
260,2019,159,4,0,0,23,230,844,212,615,17,18,0,0,15,0,0,1845,0,0.9799,4.0341,0.0000,0.0000
261,2019,160,4,0,0,23,230,839,184,644,11,10,0,1,13,2,0,1932,0,0.9869,3.8571,0.1538,0.0000
262,2019,160,4,0,0,23,230,869,231,628,10,28,0,3,15,1,0,1884,0,0.9885,4.1035,0.0667,0.0000
263,2019,160,4,0,0,22,220,790,194,585,11,17,0,3,9,1,0,1755,0,0.9861,3.9949,0.1111,0.0000
264,2019,159,4,0,0,23,230,817,200,609,8,20,0,1,21,3,0,1827,0,0.9902,3.9852,0.1429,0.0000
265,2019,160,4,0,0,23,230,826,200,614,12,17,0,2,21,3,0,1842,0,0.9855,3.9772,0.1429,0.0000
266,2019,160,4,0,0,23,230,859,215,625,19,23,0,1,19,3,0,1875,0,0.9779,4.0320,0.1579,0.0000
267,2019,159,4,0,0,23,230,838,204,615,19,18,0,2,17,2,0,1845,0,0.9773,3.9951,0.1176,0.0000
268,2019,160,4,0,0,23,230,866,228,626,12,15,0,1,24,6,0,1878,0,0.9861,4.0927,0.2500,0.0000
269,2019,160,4,0,0,23,230,863,230,617,16,20,0,1,28,10,0,1851,0,0.9815,4.1183,0.3571,0.0000
270,2019,160,4,0,0,23,230,823,201,613,9,16,0,4,24,8,0,1839,0,0.9891,3.9837,0.3333,0.0000
271,2019,160,4,0,0,22,220,787,194,584,9,24,0,2,21,7,0,1752,0,0.9886,3.9966,0.3333,0.0000
272,2019,160,4,0,0,23,230,832,196,619,17,13,0,4,16,6,0,1857,0,0.9796,3.9499,0.3750,0.0000
273,2019,159,4,0,0,23,230,835,214,606,15,18,0,1,18,4,0,1818,0,0.9820,4.0594,0.2222,0.0000
274,2019,160,4,0,0,23,230,901,254,632,15,28,0,3,27,8,0,1896,0,0.9834,4.2057,0.2963,0.0000
275,2019,160,4,0,0,23,230,865,233,616,16,17,0,3,15,5,0,1848,0,0.9815,4.1347,0.3333,0.0000
276,2019,160,4,0,0,23,230,813,193,607,13,14,0,2,21,4,0,1821,0,0.9840,3.9539,0.1905,0.0000
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
