player_id,league_id,streak_id,value,has_ended,started,ended
824,153,3,1,1,"2019-4-23","2019-4-24"
824,153,0,2,0,"2019-4-25",NULL
824,153,1,1,0,"2019-4-26",NULL
829,153,0,4,1,"2019-4-5","2019-4-8"
829,153,1,3,1,"2019-4-14","2019-4-17"
829,153,0,4,0,"2019-4-22",NULL
829,153,3,1,1,"2019-4-22","2019-4-23"
829,153,3,1,0,"2019-4-26",NULL
833,151,7,2,1,"2019-4-7","2019-4-17"
833,151,5,1,1,"2019-4-12","2019-4-17"
833,151,6,1,1,"2019-4-17","2019-4-23"
833,151,5,1,0,"2019-4-23",NULL
833,151,7,1,0,"2019-4-23",NULL
837,157,5,1,0,"2019-4-9",NULL
844,153,1,2,1,"2019-4-8","2019-4-12"
844,153,2,1,1,"2019-4-13","2019-4-17"
844,153,0,1,1,"2019-4-20","2019-4-25"
844,153,3,1,1,"2019-4-20","2019-4-25"
845,151,1,1,1,"2019-4-20","2019-4-22"
845,151,0,1,0,"2019-4-22",NULL
845,151,3,1,0,"2019-4-22",NULL
870,155,0,2,1,"2019-4-20","2019-4-25"
870,155,2,1,1,"2019-4-22","2019-4-25"
870,155,3,1,1,"2019-4-22","2019-4-25"
870,155,1,1,1,"2019-4-22","2019-4-25"
871,151,3,4,1,"2019-4-4","2019-4-9"
871,151,0,4,1,"2019-4-16","2019-4-24"
871,151,2,1,1,"2019-4-17","2019-4-20"
871,151,1,2,1,"2019-4-17","2019-4-21"
871,151,0,1,0,"2019-4-26",NULL
871,151,3,1,0,"2019-4-26",NULL
871,151,1,1,0,"2019-4-26",NULL
873,153,0,13,1,"2019-4-6","2019-4-23"
873,153,1,3,1,"2019-4-10","2019-4-14"
873,153,2,1,1,"2019-4-18","2019-4-19"
873,153,3,3,1,"2019-4-18","2019-4-23"
873,153,0,2,0,"2019-4-24",NULL
875,160,0,6,1,"2019-4-5","2019-4-13"
875,160,2,1,1,"2019-4-10","2019-4-11"
875,160,3,2,1,"2019-4-20","2019-4-23"
875,160,1,2,1,"2019-4-20","2019-4-23"
875,160,0,2,0,"2019-4-25",NULL
890,152,1,2,1,"2019-4-8","2019-4-14"
890,152,2,1,1,"2019-4-10","2019-4-14"
890,152,0,2,1,"2019-4-15","2019-4-26"
890,152,3,2,1,"2019-4-15","2019-4-26"
898,152,0,2,1,"2019-4-17","2019-4-19"
898,152,2,1,1,"2019-4-18","2019-4-19"
898,152,3,1,1,"2019-4-18","2019-4-19"
898,152,1,2,1,"2019-4-18","2019-4-21"
907,151,3,1,1,"2019-4-19","2019-4-23"
907,151,0,3,0,"2019-4-24",NULL
907,151,1,1,0,"2019-4-26",NULL
908,154,0,3,1,"2019-4-18","2019-4-21"
908,154,1,2,1,"2019-4-19","2019-4-21"
908,154,2,1,1,"2019-4-20","2019-4-21"
908,154,3,1,1,"2019-4-20","2019-4-21"
908,154,0,1,0,"2019-4-26",NULL
908,154,1,1,0,"2019-4-26",NULL
914,160,0,2,1,"2019-4-16","2019-4-23"
914,160,3,1,1,"2019-4-16","2019-4-17"
914,160,1,3,0,"2019-4-17",NULL
914,160,3,1,0,"2019-4-24",NULL
918,152,0,1,0,"2019-4-9",NULL
918,150,0,1,1,"2019-4-18","2019-4-20"
918,150,3,1,1,"2019-4-18","2019-4-20"
918,150,1,1,1,"2019-4-18","2019-4-20"
920,153,5,2,1,"2019-4-5","2019-4-19"
920,153,7,3,1,"2019-4-5","2019-4-19"
920,153,6,1,0,"2019-4-19",NULL
920,153,7,1,0,"2019-4-26",NULL
931,158,0,3,1,"2019-4-4","2019-4-6"
931,158,0,14,0,"2019-4-11",NULL
931,158,3,3,1,"2019-4-18","2019-4-22"
931,158,1,2,1,"2019-4-20","2019-4-23"
931,158,2,1,1,"2019-4-25","2019-4-26"
936,152,0,3,1,"2019-4-5","2019-4-8"
936,152,3,1,1,"2019-4-11","2019-4-12"
936,152,0,8,0,"2019-4-17",NULL
936,152,2,1,1,"2019-4-25","2019-4-26"
936,152,3,2,0,"2019-4-25",NULL
936,152,1,1,1,"2019-4-25","2019-4-26"
937,150,0,2,1,"2019-4-16","2019-4-19"
937,150,0,7,0,"2019-4-20",NULL
937,150,1,3,1,"2019-4-21","2019-4-24"
937,150,2,2,1,"2019-4-22","2019-4-24"
937,150,3,2,1,"2019-4-22","2019-4-24"
937,150,3,2,0,"2019-4-25",NULL
937,150,1,2,0,"2019-4-25",NULL
939,160,0,3,1,"2019-4-15","2019-4-24"
939,160,1,3,1,"2019-4-15","2019-4-24"
943,159,0,6,1,"2019-4-5","2019-4-12"
943,159,1,3,1,"2019-4-6","2019-4-10"
943,159,3,3,1,"2019-4-22","2019-4-26"
943,159,0,2,0,"2019-4-25",NULL
943,159,2,1,1,"2019-4-25","2019-4-26"
943,159,1,2,0,"2019-4-25",NULL
947,153,0,6,1,"2019-4-18","2019-4-25"
947,153,1,2,1,"2019-4-22","2019-4-24"
947,153,3,1,1,"2019-4-23","2019-4-24"
947,153,0,1,0,"2019-4-26",NULL
948,159,0,3,1,"2019-4-4","2019-4-25"
948,159,2,1,1,"2019-4-4","2019-4-5"
948,159,3,1,1,"2019-4-4","2019-4-5"
948,159,1,2,1,"2019-4-4","2019-4-5"
949,153,0,2,1,"2019-4-22","2019-4-24"
949,153,3,1,1,"2019-4-23","2019-4-24"
949,153,1,1,1,"2019-4-23","2019-4-24"
955,154,0,2,0,"2019-4-15",NULL
955,154,3,1,1,"2019-4-15","2019-4-19"
955,154,1,2,0,"2019-4-15",NULL
958,158,0,2,0,"2019-4-4",NULL
958,158,3,1,0,"2019-4-5",NULL
964,155,0,12,1,"2019-4-4","2019-4-20"
964,155,2,2,1,"2019-4-22","2019-4-24"
964,155,3,4,1,"2019-4-22","2019-4-26"
964,155,1,4,1,"2019-4-22","2019-4-26"
972,151,0,3,1,"2019-4-11","2019-4-25"
972,151,1,2,1,"2019-4-11","2019-4-22"
973,156,3,4,1,"2019-4-4","2019-4-7"
973,156,0,9,1,"2019-4-8","2019-4-17"
973,156,2,1,1,"2019-4-11","2019-4-12"
973,156,1,4,1,"2019-4-13","2019-4-17"
973,156,0,2,0,"2019-4-25",NULL
973,156,3,1,0,"2019-4-26",NULL
979,152,0,7,1,"2019-4-4","2019-4-10"
979,152,3,5,1,"2019-4-12","2019-4-19"
979,152,1,2,1,"2019-4-12","2019-4-14"
979,152,2,1,1,"2019-4-17","2019-4-18"
979,153,0,3,0,"2019-4-24",NULL
979,153,2,1,1,"2019-4-24","2019-4-25"
979,153,3,1,1,"2019-4-24","2019-4-25"
979,153,1,1,1,"2019-4-24","2019-4-25"
979,153,2,1,0,"2019-4-26",NULL
979,153,3,1,0,"2019-4-26",NULL
979,153,1,1,0,"2019-4-26",NULL
984,159,0,7,1,"2019-4-13","2019-4-22"
984,159,3,1,1,"2019-4-20","2019-4-22"
984,159,1,2,1,"2019-4-20","2019-4-23"
984,159,0,4,0,"2019-4-23",NULL
984,159,1,2,0,"2019-4-25",NULL
984,159,3,1,0,"2019-4-26",NULL
990,160,5,1,0,"2019-4-25",NULL
994,158,1,1,1,"2019-4-9","2019-4-12"
994,158,0,1,1,"2019-4-15","2019-4-17"
994,158,0,1,0,"2019-4-25",NULL
994,158,3,1,0,"2019-4-25",NULL
995,160,0,5,1,"2019-4-5","2019-4-22"
995,160,2,1,1,"2019-4-18","2019-4-22"
995,160,3,1,1,"2019-4-18","2019-4-22"
995,160,1,1,1,"2019-4-18","2019-4-22"
